date,time_of_day,time_begin,time_end,logged_food,amount,unit,searched_food,calorie,total_carb,dietary_fiber,sugar,protein,total_fat
10/16/2019,13:44,10/16/2019 13:44,14:00,(Costco) Seafood Stuffed Salmon,129,gram,Seafood Stuffed Salmon,201,1.5,0.2,0.2,24,11
10/16/2019,13:44,10/16/2019 13:44,14:00,(Green Giant) Rice Cauliflower - Plain,58,gram,Riced Cauliflower,15,2.9,1.2,1.1,1.1,0.2
10/16/2019,13:44,10/16/2019 13:44,14:00,(Dayka and Hackett) Navel Orange,212,gram,Navel Orange,104,27,4.7,18,1.9,0.3
10/16/2019,17:55,10/16/2019 17:55,18:10,Salad - Butter Lettuce,171,gram,Salad,171,8.5,3.3,3.7,2.5,0.4
10/16/2019,17:55,10/16/2019 17:55,18:10,Chickpeas,71,gram,Chickpeas,116,19,5.4,3.4,6.3,1.8
10/16/2019,17:55,10/16/2019 17:55,18:10,Red Onion,26,gram,Red Onion,11.4,2.6,0.4,1.2,0.4,0
10/16/2019,17:55,10/16/2019 17:55,18:10,Chicken,59,gram,Chicken,130,0,0,0,14,7.7
10/16/2019,17:55,10/16/2019 17:55,18:10,(Toast) Red Wine Vinegrette,1,tablespoon,Red Wine Vinaigrette,35,1.8,0,1.6,0.1,3.1
10/16/2019,20:30,10/16/2019 20:30,20:45,(Jolly Time) Select Yellow Pop Corn - Air Popped,0.25,cup,(Jolly Time) Yellow Popcorn,200,48,12,0,8,2
10/16/2019,20:30,10/16/2019 20:30,20:45,Virgil's Zero Sugar Black Cherry Soda,12,ounce,(Virgil's) Zero Black Cherry Cream Soda,0,0,0,0,0,0
10/16/2019,22:25,10/16/2019 22:25,22:30,(Peppridge Farm) Whole Wheat Hamburger Bun,1,,(Peppridge Farm) Whole Wheat Hamburger Bun,130,22,3,3,7,1.5
10/16/2019,22:25,10/16/2019 22:25,22:30,(Jif) Extra Crunchy Peanut Butter,2,tablespoon,(Jif) Extra Crunchy Peanut Butter,190,8,2,3,7,16
10/17/2019,10:05,10/17/2019 10:05,10:15,(Quaker) Old Fashioned Oats,1,,(Quaker) Old Fashioned Oats,150,27,4,1,5,3
10/17/2019,10:05,10/17/2019 10:05,10:15,(Red Delicious) Apple with Skin,113,gram,Red Delicious Apple,125,30,4.9,22,0.6,0.4
10/17/2019,10:05,10/17/2019 10:05,10:15,Ground Flaxseeds,1,tablespoon,Flaxseed,55,3,2.8,0.2,1.9,4.3
10/17/2019,10:05,10/17/2019 10:05,10:15,(Now) Whole Psyllium Husks,2,tablespoon,(Now) Whole Psyllium Husks,35,8,7,0,0,0
